model,accuracy,f1_macro,f1_weighted,roc_auc,training_time,inference_time,n_params
CatBoost,0.7661016949152543,0.7025564174905843,0.7613035896219688,,0.4958810806274414,0.0021626949310302734,N/A
XGBoost,0.7672316384180791,0.7035717800935193,0.7621747456559542,,0.45630908012390137,0.006256103515625,100
LightGBM,0.7661016949152543,0.7038844906491986,0.7602764097284094,,0.2455747127532959,0.004660367965698242,100
Logistic_Regression,0.768361581920904,0.682601247658837,0.7531276658422533,,0.2525899410247803,0.0004923343658447266,N/A
